# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
NorthSea_Thornbackskate	9	34.90000	12.75897	0.56478	0.96159	0.00523	0.01144	0.02433	0.00214	0.00731	0.97567	0.00214	0.00731	0.06366	0.01061	0.01629	0.93634	0.01061	0.01629	0.06461	0.01092	0.01652	0.31113	0.16863	0.56478
Skagerrak_Thornbackskate	68	14.09259	2.25400	0.07722	0.89628	0.01961	0.00720	0.05229	0.00695	0.00429	0.94771	0.00695	0.00429	0.14682	0.02982	0.00888	0.85318	0.02982	0.00888	0.15251	0.03220	0.00923	0.31841	0.17135	0.07722
NorthSea_Blonderay	26	3.09934	0.09007	0.02442	0.97737	0.00675	0.00669	0.00221	0.00074	0.00221	0.99779	0.00074	0.00221	0.03081	0.01235	0.00904	0.96919	0.01235	0.00904	0.03683	0.01767	0.01082	0.06623	0.06225	0.02442
NorthSea_Spottedray	24	2.43158	0.24662	0.03603	0.88728	0.03826	0.01419	0.01667	0.00575	0.00550	0.98333	0.00575	0.00550	0.12390	0.04327	0.01509	0.87610	0.04327	0.01509	0.15912	0.07228	0.01950	0.22807	0.17307	0.03603
NorthSea_unknownspc	43	1.00000	0.00000	0.00000	0.95373	0.02106	0.00793	0.09254	0.08423	0.01586	0.90746	0.08423	0.01586	0.04627	0.02106	0.00793	0.95373	0.02106	0.00793	0.09254	0.08423	0.01586	0.00000	0.00000	0.00000
Skagerrak_Sailray	54	3.13816	0.11986	0.02808	0.91721	0.01881	0.01112	0.01096	0.00503	0.00575	0.98904	0.00503	0.00575	0.11449	0.03521	0.01522	0.88551	0.03521	0.01522	0.13584	0.04976	0.01809	0.24836	0.18998	0.02808
Kattegat_Thornbackskate	9	1.00000	0.00000	0.00000	0.96370	0.01687	0.00629	0.07260	0.06749	0.01257	0.92740	0.06749	0.01257	0.03630	0.01687	0.00629	0.96370	0.01687	0.00629	0.07260	0.06749	0.01257	0.00000	0.00000	0.00000
Aquarium_Thornbackskate	48	14.25424	1.98617	0.07490	0.91995	0.01504	0.00652	0.04622	0.00698	0.00444	0.95378	0.00698	0.00444	0.11729	0.02586	0.00855	0.88271	0.02586	0.00855	0.12174	0.02788	0.00887	0.25766	0.14130	0.07490
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
NorthSea_Thornbackskate	9	4443	40	24	0.54018	34.02543	16.92304	0.06172	0.99965	0.00006	0.00012	0.00022	0.00002	0.00007	0.99978	0.00002	0.00007	0.00057	0.00013	0.00017	0.99943	0.00013	0.00017	0.00058	0.00013	0.00017	0.00280	0.00234	0.06172
Skagerrak_Thornbackskate	68	15779	378	210	1.33088	14.81881	3.82602	0.01557	0.99752	0.00072	0.00021	0.00125	0.00023	0.00012	0.99875	0.00023	0.00012	0.00352	0.00122	0.00028	0.99648	0.00122	0.00028	0.00365	0.00131	0.00029	0.00763	0.00646	0.01557
NorthSea_Blonderay	26	12445	151	11	0.08839	3.36022	0.24462	0.00443	0.99973	0.00009	0.00008	0.00003	0.00001	0.00003	0.99997	0.00001	0.00003	0.00037	0.00016	0.00011	0.99963	0.00016	0.00011	0.00045	0.00023	0.00014	0.00080	0.00080	0.00443
NorthSea_Spottedray	24	16489	190	51	0.30930	2.41895	0.25024	0.00390	0.99870	0.00058	0.00019	0.00019	0.00007	0.00006	0.99981	0.00007	0.00006	0.00143	0.00067	0.00020	0.99857	0.00067	0.00020	0.00183	0.00112	0.00026	0.00263	0.00258	0.00390
NorthSea_unknownspc	43	25422	335	31	0.12194	1.00000	0.00000	0.00000	0.99939	0.00030	0.00011	0.00122	0.00122	0.00022	0.99878	0.00122	0.00022	0.00061	0.00030	0.00011	0.99939	0.00030	0.00011	0.00122	0.00122	0.00022	0.00000	0.00000	0.00000
Skagerrak_Sailray	54	10631	152	42	0.39507	3.34954	0.24244	0.00478	0.99882	0.00036	0.00018	0.00016	0.00007	0.00008	0.99984	0.00007	0.00008	0.00164	0.00068	0.00025	0.99836	0.00068	0.00025	0.00194	0.00097	0.00030	0.00355	0.00357	0.00478
Kattegat_Thornbackskate	9	25141	427	31	0.12330	1.00000	0.00000	0.00000	0.99938	0.00031	0.00011	0.00123	0.00123	0.00022	0.99877	0.00123	0.00022	0.00062	0.00031	0.00011	0.99938	0.00031	0.00011	0.00123	0.00123	0.00022	0.00000	0.00000	0.00000
Aquarium_Thornbackskate	48	19517	354	157	0.80443	15.14905	4.03481	0.01438	0.99855	0.00039	0.00014	0.00084	0.00016	0.00009	0.99916	0.00016	0.00009	0.00213	0.00071	0.00019	0.99787	0.00071	0.00019	0.00221	0.00077	0.00020	0.00467	0.00374	0.01438
